new_index,s_time,e_time,delta_time,old_index
0,0,3360,0,25
1,0,3420,0,27
2,0,4980,0,57
3,0,8040,0,163
4,0,3900,0,35
5,0,7860,0,153
6,0,4080,0,40
7,0,3240,0,21
8,0,4080,0,39
9,0,7620,0,151
10,0,7500,0,150
11,0,4800,0,123
12,0,4320,0,41
13,0,4680,0,53
14,0,7320,0,148
15,0,10320,0,249
16,0,4920,0,139
17,0,5760,0,79
18,0,4560,0,52
19,0,1560,0,2
20,0,2160,0,9
21,0,1560,0,3
22,0,2160,0,8
23,240,4680,0,54
24,300,1380,0,1
25,300,4980,0,59
26,300,3300,0,23
27,300,1380,0,0
28,300,4980,0,58
29,360,3900,0,36
30,360,3600,360,21
31,420,4080,0,38
32,600,5100,0,62
33,600,4380,0,42
34,600,3720,0,33
35,600,3720,0,32
36,600,4560,0,51
37,600,3600,0,29
38,720,4260,360,36
39,720,3960,720,21
40,720,1920,0,11
41,720,2280,0,10
42,900,4560,0,49
43,900,3060,900,8
44,900,7440,0,105
45,900,5640,0,75
46,900,5640,0,76
47,900,7440,0,106
48,900,6060,0,85
49,900,4320,900,27
50,900,5460,0,69
51,900,4980,900,39
52,900,5340,0,66
53,900,5340,0,67
54,900,4980,900,40
55,900,2400,0,12
56,900,8940,0,124
57,900,8940,0,125
58,900,4560,0,48
59,900,2400,0,13
60,900,3060,900,9
61,960,5820,0,80
62,960,5820,0,81
63,1020,3480,0,28
64,1020,5640,0,77
65,1080,4620,720,36
66,1080,4320,1080,21
67,1200,4560,0,50
68,1200,5160,0,64
69,1200,7260,0,102
70,1200,5820,0,82
71,1200,7320,0,103
72,1200,7320,0,104
73,1200,6840,0,94
74,1200,4020,0,37
75,1200,4200,900,23
76,1200,6060,0,84
77,1380,5280,1380,35
78,1440,3000,720,10
79,1440,2640,720,11
80,1440,12120,0,141
81,1440,4680,1440,21
82,1440,4980,1080,36
83,1500,6180,1200,58
84,1500,6180,1200,59
85,1500,4800,0,55
86,1500,5160,0,63
