origin,dest,count
22,19,23
30,35,94
35,30,96
35,36,72
36,35,72
38,2598,240
48,1809,6
53,2336,6
56,2068,34
139,3515,3
177,1567,1
177,2105,1
181,581,34
186,581,34
188,881,1
188,1254,3
188,2169,1
188,2186,1
226,2027,23
245,347,10
246,1040,161
250,2068,95
252,2055,60
253,581,130
259,2133,1
262,2214,69
268,1988,41
271,3073,125
273,2037,98
274,282,57
282,274,54
291,2598,43
293,1946,38
302,770,46
311,311,60
316,316,35
318,1001,39
334,336,20
335,420,74
339,2027,41
341,3513,50
343,2598,36
345,1946,61
346,346,11
351,601,45
355,355,11
357,1946,48
360,391,25
362,362,34
364,1928,65
365,1902,45
366,280,47
367,762,49
372,1172,49
380,1741,51
384,89,1
384,384,76
384,927,73
384,1567,1
384,2454,72
386,1201,37
392,3418,47
393,332,46
407,2055,62
418,418,68
420,335,57
420,439,51
425,1158,96
428,1793,18
434,1946,36
437,1747,22
452,452,69
453,2045,52
458,458,70
462,581,62
463,2214,43
465,2062,21
468,1756,4
470,470,95
473,1724,24
475,1944,50
476,476,31
481,548,37
485,1064,48
495,495,124
498,822,31
502,506,43
504,2331,15
508,3515,138
510,1137,37
521,1935,38
523,523,41
523,961,45
530,1537,51
531,488,1
533,724,31
551,2261,46
554,791,36
571,862,30
575,1944,37
581,181,34
581,186,34
581,253,99
581,462,61
583,1994,46
591,1762,10
591,2336,47
591,3793,76
603,679,24
605,3513,8
607,1723,28
615,1081,11
625,1550,20
633,2326,20
640,860,62
644,644,17
647,391,62
647,1790,19
650,650,163
655,769,50
655,1944,40
656,1172,40
660,1537,89
663,1064,44
664,665,5
677,677,28
681,681,53
684,391,65
685,685,13
692,2159,100
697,697,51
700,700,18
700,1051,36
702,33,7
702,315,41
715,2027,16
736,736,49
736,1712,33
737,1589,39
746,2252,6
752,1568,21
754,3569,45
762,367,46
762,687,60
772,1957,34
775,775,83
791,554,40
791,1913,50
809,809,114
820,1944,51
822,498,33
831,1809,14
837,1740,50
846,1946,29
854,2035,84
855,1479,35
855,1481,25
862,571,36
865,3361,34
867,946,39
873,1793,24
892,1037,48
909,3362,183
921,3380,55
927,384,73
927,1820,15
927,2454,25
934,2326,9
946,867,32
972,1908,24
980,979,52
980,1105,28
981,1747,19
987,1419,76
987,1516,27
987,2073,3
989,1824,45
990,2208,34
996,401,44
1001,318,30
1004,2155,46
1011,1520,69
1020,2967,41
1028,444,44
1028,1077,49
1034,1613,39
1044,1044,22
1050,1050,29
1056,1944,44
1057,2280,51
1057,3421,46
1057,3793,68
1064,485,50
1064,663,43
1064,1064,242
1068,1068,53
1068,1712,31
1072,1291,67
1075,1150,46
1076,1520,81
1076,2159,100
1079,1420,34
1089,1089,27
1089,1830,48
1092,1223,15
1103,1591,33
1103,2073,52
1103,2938,54
1111,1269,99
1113,1113,41
1123,1123,38
1125,796,24
1135,3455,47
1137,510,46
1137,1502,31
1140,1140,26
1143,1143,47
1143,1636,49
1147,1147,40
1147,2169,125
1149,469,54
1154,1106,41
1154,1637,39
1155,298,41
1158,425,80
1167,2201,69
1167,3380,100
1171,1336,30
1172,372,55
1172,1630,34
1172,1689,64
1172,1730,21
1201,386,38
1201,1081,49
1207,2055,35
1211,2598,51
1212,611,39
1219,1830,39
1222,1342,28
1235,1008,45
1238,1078,27
1238,1613,36
1249,2128,27
1252,2194,60
1253,1297,41
1263,1263,42
1264,2598,37
1266,1877,30
1275,1275,33
1280,1280,55
1280,2094,27
1286,1286,135
1286,1468,4
1286,2169,27
1300,3607,35
1301,1006,44
1301,1712,56
1302,1302,34
1311,1151,46
1315,1944,49
1319,1319,2
1321,1994,21
1322,1937,19
1326,1636,75
1336,1171,23
1336,1457,17
1347,1464,23
1351,1351,27
1369,1438,23
1369,2073,40
1380,1724,18
1382,1382,43
1388,1388,40
1394,1394,58
1397,1269,36
1398,1734,47
1406,2073,27
1410,1453,19
1423,2073,27
1427,1572,21
1429,1946,22
1442,1026,40
1442,1040,34
1447,1793,27
1457,1336,15
1458,1747,18
1477,1477,22
1479,522,36
1479,855,45
1480,1234,35
1480,1999,8
1480,2078,37
1481,855,40
1489,2252,4
1493,1494,3
1493,1530,29
1501,1501,42
1502,1137,37
1525,2095,36
1525,3164,41
1530,1493,27
1544,2186,23
1549,1340,46
1549,1549,32
1549,1616,42
1554,1554,123
1558,1558,58
1561,2320,33
1572,1427,21
1574,2345,30
1590,1590,44
1594,1594,39
1604,824,100
1604,1512,46
1604,2113,35
1608,1890,25
1616,1549,42
1616,1616,27
1616,2697,55
1618,1946,42
1619,1654,28
1619,1672,27
1620,1236,62
1623,2724,226
1630,1172,36
1642,1751,26
1647,2312,35
1650,1804,21
1651,2036,2
1654,2216,42
1678,2169,23
1689,1172,62
1689,1745,17
1693,1693,26
1694,1862,15
1713,1713,41
1724,473,25
1724,513,32
1724,1176,42
1724,1380,18
1728,2454,13
1730,1172,29
1734,395,39
1734,1398,50
1738,2268,1
1743,1747,27
1743,2062,59
1747,437,29
1747,981,23
1747,1458,22
1747,1743,22
1747,1747,68
1747,2019,12
1754,1902,21
1754,2247,122
1756,468,4
1756,536,43
1756,1756,21
1758,1758,20
1760,2257,24
1765,1684,16
1768,1789,17
1771,1946,26
1772,1663,25
1775,1744,26
1775,1775,15
1776,404,22
1776,1669,2
1776,2252,2
1776,2318,30
1778,2261,12
1788,1788,210
1788,1907,13
1791,1937,4
1797,1944,20
1798,1967,20
1799,567,44
1799,1799,18
1802,2214,22
1814,1589,46
1814,1814,9
1815,300,71
1815,1957,10
1816,1816,9
1817,1817,14
1817,1991,89
1826,1826,16
1828,1723,119
1828,1740,21
1828,1830,36
1831,1831,10
1835,1021,42
1835,1835,15
1835,1837,82
1837,1835,73
1838,1911,8
1840,1401,2
1840,1920,13
1844,1844,42
1854,1854,12
1858,1858,53
1859,994,75
1859,3026,27
1863,974,42
1863,1913,18
1867,1800,14
1867,1867,9
1872,2014,26
1873,1873,14
1874,1874,42
1875,2052,10
1877,1266,32
1877,1988,9
1880,1732,10
1885,1824,10
1886,1938,40
1891,1938,7
1897,1897,47
1898,2598,23
1900,469,84
1900,1900,38
1902,365,47
1902,1754,21
1902,1902,13
1905,1957,6
1906,1938,3
1907,1788,17
1908,972,23
1908,1843,4
1910,1589,39
1914,1914,6
1925,1934,11
1928,364,85
1930,1941,58
1934,1925,11
1935,521,43
1935,1935,9
1936,1936,21
1937,1322,26
1937,1714,30
1937,1791,4
1942,3784,10
1943,1943,10
1945,1945,14
1947,1991,9
1952,1952,11
1955,1955,12
1957,1815,10
1957,1905,6
1957,2894,5
1966,2653,6
1966,3536,11
1967,1798,19
1967,1957,5
1967,1992,71
1969,1948,9
1970,2268,2
1972,1972,3
1973,387,109
1973,1959,24
1973,2184,6
1973,2197,49
1973,3108,34
1974,1977,1
1983,1983,11
1986,1986,8
1988,268,36
1988,1877,9
1991,1817,74
1991,1845,10
1991,1947,7
1992,535,70
1992,1967,72
1992,1992,3
1992,2747,60
1993,1695,2
1993,2267,1
1993,2331,15
1996,1996,12
1999,18,79
1999,1523,2
1999,1663,42
1999,1999,7
1999,2123,75
1999,2201,89
2001,839,113
2001,2001,74
2007,2018,17
2009,2008,17
2011,2011,80
2011,2784,52
2012,2012,1
2014,1872,15
2014,2014,12
2021,2021,2
2023,860,66
2023,2023,33
2023,2026,8
2025,2025,4
2025,2598,45
2026,2023,9
2027,226,24
2027,339,43
2027,715,14
2027,2343,71
2029,2029,50
2031,3335,5
2038,2035,2
2041,2041,22
2042,2006,4
