origin,dest,count
26,27,23
40,45,95
45,40,96
45,46,72
46,45,72
49,3275,240
59,1466,6
64,2462,6
68,2164,46
113,2484,71
161,3661,3
197,2208,1
197,2339,1
205,1114,34
207,1114,34
209,1480,3
209,2083,1
209,2287,1
209,2302,1
260,1114,130
262,1512,161
265,313,10
268,2164,95
275,2242,1
285,289,56
289,285,57
310,309,20
315,315,11
318,318,11
320,320,34
334,3015,59
335,101,1
335,335,76
335,533,73
335,2339,1
335,2596,72
372,372,69
373,373,70
376,1146,4
380,2855,125
393,393,124
396,395,43
399,2456,15
402,3661,139
407,1452,131
413,1987,51
417,414,1
432,519,36
443,858,10
443,2462,77
443,4004,77
448,712,43
449,1283,11
456,2452,20
466,464,5
475,475,13
496,2379,6
500,728,21
519,432,36
530,2982,183
533,335,73
533,1581,15
533,2596,25
538,2452,9
568,2406,51
568,3018,46
568,4004,68
624,624,2
651,668,19
683,2379,4
686,685,3
686,704,29
704,686,28
711,2302,34
776,2440,42
779,2121,2
815,815,41
820,2596,13
825,2394,1
835,1944,21
835,2371,122
842,2383,24
847,847,92
850,1717,16
870,1937,25
871,44,7
871,1396,43
874,1055,17
878,2112,45
881,1114,55
884,1059,36
891,2112,119
902,2167,20
907,907,49
911,2334,69
914,2010,41
919,1251,52
921,1169,47
925,2012,47
928,2112,78
934,2980,17
939,2012,61
940,3658,53
941,2010,59
945,945,91
959,2145,58
960,1212,40
961,2012,66
963,1280,28
965,965,33
967,3275,43
974,2269,44
975,1174,65
978,1688,32
979,2010,49
981,1212,45
987,1950,47
990,1197,17
994,882,42
998,1103,81
999,872,69
1002,1470,119
1019,3275,48
1021,1167,48
1022,1579,44
1026,1791,42
1036,2132,53
1041,1428,45
1042,346,22
1042,789,2
1042,2379,2
1042,2444,30
1043,1174,23
1054,1418,77
1056,1177,67
1062,859,16
1063,1343,34
1064,1064,69
1065,2334,44
1067,2012,43
1068,1068,21
1069,1256,49
1072,2010,46
1076,1688,23
1085,2120,80
1087,1937,21
1102,1809,34
1103,998,81
1107,2012,27
1114,205,34
1114,207,34
1114,260,130
1114,881,57
1117,1037,35
1121,1984,74
1123,1123,39
1126,2071,44
1128,1795,19
1136,1307,37
1146,376,4
1146,1146,28
1146,1306,45
1148,1148,55
1150,1742,41
1156,1688,18
1165,1050,25
1165,1165,42
1179,1629,26
1181,1289,22
1189,3144,46
1190,2122,89
1193,1404,43
1193,1589,46
1201,2003,4
1203,1174,67
1203,1202,40
1209,1209,59
1212,960,40
1212,1261,28
1212,1366,53
1212,1999,59
1213,3275,53
1214,1603,41
1220,1220,58
1229,1327,69
1234,3275,38
1237,1987,82
1255,1255,32
1261,1212,28
1266,2387,44
1268,1040,49
1280,963,29
1281,1579,40
1292,2387,12
1293,1588,40
1296,2315,55
1298,1298,25
1313,1340,46
1313,2010,43
1324,2123,235
1326,2043,19
1327,1229,69
1327,1445,62
1333,1333,49
1341,1795,21
1342,923,62
1342,1342,21
1343,1063,35
1343,1283,57
1349,2010,23
1350,2329,34
1352,1816,39
1352,1854,16
1352,2167,3
1353,2145,55
1354,1354,20
1364,1466,22
1366,1212,53
1368,1998,40
1369,1846,38
1372,1372,28
1376,2012,37
1378,2090,2
1378,3843,2
1382,1944,48
1390,2334,41
1391,1519,36
1395,2024,34
1407,2338,42
1411,1410,24
1411,1565,14
1428,1041,45
1428,1521,56
1443,1443,53
1446,1599,14
1456,2024,38
1456,2269,53
1457,1731,42
1460,1077,38
1460,1656,46
1477,2065,41
1479,1766,36
1481,1855,45
1488,2236,13
1491,1429,22
1497,2003,28
1519,1391,36
1522,1522,21
1522,1855,53
1525,1525,28
1525,2256,14
1528,1014,80
1528,2031,29
1531,1470,17
1533,1766,29
1534,2012,26
1543,1777,15
1543,2167,24
1543,3337,25
1544,1473,20
1544,1732,7
1544,1875,18
1546,1546,10
1551,1551,46
1551,1957,31
1557,1302,14
1557,1907,17
1559,2167,13
1561,1561,24
1561,2067,85
1567,2071,18
1568,2275,21
1571,1925,29
1578,2321,31
1578,2994,36
