origin,dest,count
76,1620,6
80,1635,13
85,989,204
87,1635,120
89,1637,1
161,3919,3
180,1344,1
180,1483,1
186,970,3
186,1264,1
186,1418,1
186,1435,1
209,234,10
218,1503,4
229,230,20
253,27,1
253,253,95
253,400,91
253,1483,1
253,2577,72
254,2936,59
294,1611,15
296,3919,2
298,955,31
304,303,1
316,518,19
329,565,45
335,1607,20
343,341,5
366,1554,3
369,580,25
400,253,91
400,1018,15
400,2577,33
402,1607,9
428,1544,51
428,2938,2
428,3594,68
532,1554,4
553,1584,1
563,1435,29
625,1588,37
660,2577,13
664,1528,1
673,696,10
673,1620,78
673,3594,78
681,1525,24
687,687,99
689,1260,16
713,1308,18
721,721,49
731,2905,15
737,737,99
743,1404,44
751,962,239
761,1269,2
761,3418,2
779,1472,42
795,795,39
829,2488,71
872,1812,1
896,1282,295
900,900,20
902,1462,34
906,1156,39
906,1173,16
906,1308,3
920,1070,34
924,1226,34
939,942,24
939,1016,14
953,1633,14
958,1226,38
958,1404,53
981,1372,12
982,949,22
993,962,17
996,996,28
996,1393,14
1007,1132,15
1007,1308,24
1007,3111,25
1014,1308,13
1017,873,14
1017,1192,17
1021,990,21
1026,2919,24
1027,1027,13
1033,1192,19
1045,1045,13
1058,1403,21
1059,1080,19
1077,1451,31
1077,2919,36
1079,1079,18
1079,1418,158
1094,1094,15
1114,1122,7
1115,506,2
1115,1211,12
1142,1142,15
1142,1181,20
1142,1445,20
1161,989,15
1161,1121,11
1168,1168,17
1170,1170,18
1176,1332,16
1176,1626,9
1176,3364,21
1177,1219,5
1177,1268,35
1181,1142,20
1181,1181,12
1181,2686,50
1197,1197,18
1206,1418,10
1210,779,28
1210,1202,11
1218,1218,10
1219,1177,6
1223,1293,17
1223,1390,14
1223,2403,8
1237,1528,2
1242,697,16
1246,969,20
1246,1178,18
1246,1252,7
1256,1252,10
1256,1256,21
1256,1268,24
1263,843,86
1263,1146,22
1263,1354,16
1270,1270,316
1270,2714,52
1279,972,4
1279,1279,210
1279,1418,12
1282,114,65
1282,896,287
1282,1282,11
1282,1872,39
1282,2829,77
1286,3594,6
1296,2906,58
1307,1173,105
1307,1226,2
1307,1354,29
1307,1472,14
1312,646,2
1312,1510,1
1312,1611,21
1326,775,91
1326,1374,2
1332,1192,19
1332,1638,24
1365,1366,26
1365,1422,1
1371,1371,32
1371,1372,44
1371,1404,50
1385,634,1
1395,554,1
1395,1396,2
1395,1472,4
1395,3576,5
1399,1398,3
1401,1463,4
1408,1308,25
1408,1408,49
1408,1418,51
1418,186,3
1418,1079,158
1418,1137,3
1418,1150,16
1418,1206,12
1418,1279,2
1418,1354,17
1418,1408,50
1418,1418,24
1418,1419,2
1418,1441,13
1418,1635,135
1422,1226,24
1422,1365,1
1422,1404,25
1422,1425,2
1430,1643,2
1433,1637,2
1447,875,35
1447,1178,2
1447,1301,1
1447,1407,17
1465,1287,22
1465,1475,1
1469,781,4
1469,1055,18
1469,2699,26
1476,1607,1
1479,875,37
1479,3007,13
1481,514,3
1481,1054,23
1481,1482,1
1487,1369,10
1488,1510,5
1493,53,12
1493,1494,5
1493,1605,22
1493,2435,15
1503,218,57
1506,176,145
1506,3594,2
1510,1312,1
1510,1488,5
1510,1605,1
1512,1549,1
1528,664,1
1539,1583,2
1542,1284,1
1542,1456,1
1542,1588,4
1542,1621,4
1542,2714,5
1542,3180,2
1547,146,54
1547,325,34
1547,358,23
1547,463,58
1547,1605,3
1547,2906,1
1561,1622,3
1566,259,22
1566,634,2
1566,1554,2
1566,1593,30
1569,1610,2
1572,2916,12
1572,3594,95
1582,1463,4
1582,1562,1
1582,1588,4
1584,534,3
1584,553,29
1588,625,42
1588,1542,4
1588,1582,3
1591,1622,1
1593,1566,2
1593,1597,2
1601,1562,1
1611,642,76
1611,1425,20
1611,1605,47
1611,1613,10
1611,2900,20
1611,2906,17
1615,2781,159
1616,2906,237
1617,1335,28
1617,1456,46
1617,1580,4
1617,1602,2
1617,2788,34
1618,1562,2
1618,2852,4
1624,1623,1
1634,1269,143
1634,1634,110
1636,435,57
1636,1178,44
1636,1293,24
1636,1642,12
1637,89,143
1637,1433,2
1637,1640,143
1659,1660,23
1664,2468,1
1667,2468,72
1671,2236,6
1678,1891,34
1680,1891,34
1687,1687,11
1688,1688,11
1690,1690,34
1698,1698,69
1699,1699,70
1701,1904,4
1706,1706,124
1707,1708,43
1714,2313,51
1720,2241,10
1726,1957,11
1728,1728,13
1734,1734,2
1737,2431,2
1739,1739,41
1750,2368,8
1752,2209,14
1753,1665,7
1753,2013,35
1754,2423,38
1758,1965,33
1761,1891,57
1765,2423,119
1767,1891,130
1773,2435,64
1776,2332,26
1778,2244,28
1779,2382,41
1782,2050,42
1783,2423,78
1789,2332,34
1790,2382,21
1791,3970,19
1799,2193,55
1802,2382,27
1804,2166,34
1805,1858,44
1806,2166,42
1807,1960,28
1811,2354,53
1812,2049,17
1813,2332,24
1816,2141,27
1817,3791,30
1820,1917,17
1824,2349,44
1833,1879,69
1837,2382,30
1839,2332,46
1841,2111,38
1843,1835,42
1846,2090,44
1848,3791,30
1852,2020,45
1853,2438,45
1857,2354,23
1861,2088,54
1863,2435,33
1864,2382,26
1866,1979,36
1867,1955,40
1868,1868,72
1869,2332,26
1870,1870,21
1874,2141,21
1877,2368,11
1879,1833,82
1881,2192,27
1886,2382,22
1889,1856,38
1891,1678,34
1891,1680,34
1891,1761,60
1891,1767,117
1892,2310,55
1894,1751,69
1897,2367,18
1898,2396,38
1901,1971,39
1904,1701,4
1904,1904,28
1904,2160,35
1905,2141,16
1908,1908,57
1910,1967,22
1911,2107,26
1912,1862,25
1912,1912,42
1914,2010,43
1914,2096,48
1918,2432,89
1919,3737,42
1925,2399,3
1926,1930,34
1926,2354,28
1927,2101,42
1931,1931,60
1933,2313,80
1936,3791,23
1945,1945,121
1958,2090,41
1960,1807,30
1963,2097,20
1968,2456,57
1970,1970,25
1975,2367,21
1977,1977,49
1979,1866,38
1979,1957,58
1980,2361,19
1985,1781,53
1985,1985,23
1989,2332,11
1991,1760,46
1995,2166,42
1996,1996,28
1997,2206,35
1998,2344,30
2002,2002,35
2004,2435,43
2008,2273,50
2009,2342,23
2020,1852,41
2020,2062,57
2030,2030,53
2037,2430,80
2039,2275,33
2045,2391,41
2046,2211,32
2047,2265,32
2048,1854,51
2049,1812,46
2053,2399,28
2061,1871,40
2061,2117,46
2071,3791,57
2074,2382,26
2077,2077,49
2077,2385,3
2078,2078,10
2089,2396,18
2090,1846,45
2090,1958,41
2090,2090,242
2092,2092,58
2093,2260,32
2097,1963,42
2097,2305,25
2100,2100,41
2104,3851,32
2105,2105,36
2106,1935,38
2109,2109,36
2113,2200,15
2117,2061,39
2119,2119,29
2120,2107,119
2120,2164,31
2120,2349,19
2121,2121,21
2121,2211,53
2123,1983,48
2123,2332,24
2127,2193,55
2130,2368,16
2131,2131,27
2132,2132,21
2134,2134,27
2140,2208,38
2140,2385,57
2142,2177,25
2143,3991,47
2144,2144,43
2145,2017,46
2148,2148,43
2151,2448,8
2153,2172,69
2156,2156,45
2157,2157,55
2157,2385,21
2158,2352,57
2162,2319,5
2166,1804,40
2166,1995,53
2166,2231,16
2166,2356,60
2167,2472,33
2168,2368,27
2168,2448,43
2172,2033,38
2172,2153,64
2173,2173,42
2183,2183,18
2185,2185,32
2186,2265,30
2189,1834,82
2189,2347,26
2190,2164,43
2192,1881,34
2194,2194,63
2201,1809,43
2201,2289,16
2204,2236,22
2205,2296,35
2206,1997,38
2206,2289,51
2207,2347,28
2210,4021,36
2220,2220,21
2220,2259,32
2226,2410,27
2228,2228,21
2229,2442,2
2231,2166,28
2232,3970,7
2233,2326,29
2233,2391,9
2238,2193,29
2240,2441,4
2241,1720,36
2246,2324,34
2248,2058,32
2248,2296,43
2253,2253,48
2256,2324,5
2265,2047,38
2265,2186,20
2266,2266,50
2268,2164,45
2268,2268,40
2270,2018,79
2271,2088,77
2271,2271,38
2273,2008,40
2273,2273,19
2273,2452,21
2274,2324,3
2275,2039,45
2276,3791,23
2277,2347,6
2279,2169,12
2279,2281,6
2281,2279,24
2283,2211,47
2286,2286,23
2288,2288,6
2292,2292,288
2292,2371,27
2294,2294,35
2296,2205,16
2296,2248,34
2302,2402,5
2305,2097,34
2310,1892,77
2316,2328,56
2317,2255,30
2323,2323,29
2325,2084,49
2325,2325,41
2326,2233,34
2329,3581,17
2330,2330,16
2333,2333,30
2334,2394,8
2341,2023,55
2342,2009,38
2343,2343,11
2344,1998,40
2344,2344,9
2346,2346,27
2347,2189,29
2347,2277,6
2347,3682,5
2348,2348,24
2348,2394,88
2352,1916,39
2352,2158,88
2352,2352,21
2355,2101,10
2356,2063,21
2356,2166,51
2361,1980,15
2361,2347,15
2361,2395,64
2362,2001,27
2362,2362,9
2363,2382,23
2365,2336,5
2367,1821,45
2367,1897,19
2367,1975,23
2367,2042,62
2368,1750,26
2368,1877,21
2368,2130,21
2368,2168,20
2368,2368,68
2368,2415,12
2369,2369,3
2370,2374,1
2371,2292,34
2383,2383,11
2387,2387,8
2391,2045,20
2391,2233,9
2394,2175,10
2394,2334,19
2394,2348,45
2395,1818,77
2395,2361,66
2395,2395,3
2395,2952,61
2398,2398,12
2399,1925,4
2399,2019,31
2399,2053,18
2400,3916,1
2400,3977,21
2402,2302,20
2403,543,2
2403,1366,34
2403,1451,46
2403,1658,79
2403,1835,54
2403,2403,7
2407,2427,22
2409,2408,17
2410,2226,21
2410,2410,12
2416,2416,2
2419,2018,72
2419,2419,34
2419,2421,9
2421,2419,9
2422,2422,4
2422,3791,32
2423,1754,46
2423,1765,82
2423,1783,81
2423,2470,76
2425,2425,61
2426,2426,1
2428,3882,5
2434,2434,31
2436,2406,4
2437,2437,12
2439,2000,33
2439,2438,8
2445,2445,7
2446,2415,32
2446,2448,5
2447,2034,43
2447,2447,14
2450,2450,4
2452,2273,21
2452,2460,122
2453,2453,1
2454,2430,6
2460,2452,63
2460,2460,1
2463,2463,3
2463,2470,1
2465,2471,2
2466,3791,240
2468,1664,96
2468,1667,72
2470,2423,84
2470,2463,3
2473,2474,1
2480,9,89
2482,1572,89
2487,1621,1
2487,1632,1
2487,1641,1
2488,829,43
2488,1192,45
2488,1322,1
2488,1354,1
2488,2488,88
2490,1858,1
2499,1812,48
2503,2714,16
2508,56,11
2509,57,11
2519,1626,48
2529,1634,2
2532,3390,9
2536,107,3
2539,1612,71
2543,1282,65
2543,1483,1
2549,1617,142
2552,126,2
2561,3543,145
2563,872,1
2563,1407,2
2564,3007,26
2572,2906,9
2577,400,34
2577,430,12
2577,660,13
2577,662,13
2577,1018,6
2578,1607,3
2584,1506,144
2587,253,2
2590,1607,1
2591,1115,2
2593,194,31
2597,784,14
2600,428,60
2601,206,64
2601,209,10
2608,673,108
2612,2920,116
2614,1547,39
2616,229,20
2623,1607,1
2632,253,72
2633,1547,66
2634,2193,5
2636,970,45
2636,1483,91
2638,677,167
2638,1605,1
2639,265,18
2639,1607,18
2641,1611,73
2653,288,26
2656,2906,16
2663,305,7
2673,1307,12
2674,1098,19
2674,1223,8
2674,1393,22
2681,329,40
2682,2906,1
2685,1632,5
2686,337,1
2686,1106,24
2686,1181,35
2686,1260,13
2688,339,6
2691,1396,11
2699,354,1
2699,1070,1
2699,1269,40
2699,1469,27
2702,357,3
2703,304,1
2703,358,2
2706,2781,43
2712,1605,66
2712,1622,14
2712,2906,116
2713,369,22
2714,44,16
2714,370,4
2714,1270,52
2714,1542,5
2714,1596,27
2714,2714,479
2715,371,54
2715,1605,19
2718,871,1
2721,378,7
2723,721,7
2729,386,6
2731,302,16
2731,388,6
2732,791,27
2732,1254,1
2732,1256,1
2732,1613,39
2732,2732,15
2733,390,1
2733,922,43
2733,1366,4
2733,1479,7
2734,1365,1
2734,1366,24
2734,1472,1
2738,2905,36
2743,404,1
2743,1393,143
2743,3480,2
2744,405,12
2744,2906,6
2745,406,12
2746,1211,5
2746,1515,47
2749,1404,2
2754,1269,40
2754,1445,2
2758,2781,39
2764,430,48
2764,1233,48
2764,2577,12
2771,439,1
2772,1547,26
2774,443,9
2775,506,4
2775,1361,4
2776,445,5
2779,569,8
2781,250,44
2781,450,2
2781,1615,1
2781,1622,39
2781,2906,52
2781,2916,23
2788,1490,2
2788,1617,14
2788,2435,1
2788,3594,21
2792,3543,10
2800,1173,33
2800,1472,2
2809,482,3
2809,954,1
2809,1404,11
2809,2372,11
2813,1361,2
2818,506,2
2818,1379,8
2820,543,2
2829,1472,1
2832,1607,36
2835,739,15
2835,1257,27
2835,1384,32
2835,3410,1
2836,1481,3
2836,3361,23
2837,1544,124
2840,316,19
2840,656,34
2840,1018,33
2849,613,1
2849,1379,4
2851,533,2
2851,854,1
2851,1173,11
